state,state_name,assessment,subject,grade,school_year,administration_year,below_basic_analog_label,below_basic_analog_pct,official_statewide_grade3_ela_advanced_or_proficient_pct,official_enrollment,official_statewide_grade3_ela_participation_rate,source_notes,source_url,source_page_url,official_statewide_grade3_ela_level3_or_4_pct,official_statewide_grade3_ela_standard_met_or_exceeded_pct,official_with_scores,official_statewide_grade3_ela_met_or_exceeded_pct,official_total_students,official_valid_test_takers,official_number_scored,official_statewide_grade3_ela_level2_or_above_pct,official_statewide_grade3_ela_level3_or_above_pct,official_statewide_grade3_ela_level4_or_5_pct,official_statewide_grade3_ela_met_achievement_standard_pct,official_statewide_grade3_ela_proficient_or_distinguished_pct,official_statewide_grade3_ela_at_or_above_proficiency_pct,official_statewide_grade3_reading_proficient_or_distinguished_pct,official_statewide_grade3_ela_mastery_or_advanced_pct,official_statewide_grade3_ela_proficient_pct,official_statewide_grade3_ela_proficient_or_advanced_pct,official_not_tested,official_statewide_grade3_ela_percent_proficient_pct,official_statewide_grade3_reading_grade_level_proficient_pct,official_statewide_grade3_ela_percent_proficient_or_above_pct,official_statewide_grade3_ela_meets_or_exceeds_pct,official_statewide_grade3_rla_approaches_or_above_pct,official_statewide_grade3_rla_meets_or_above_pct,official_statewide_grade3_rla_masters_pct,official_statewide_grade3_reading_advanced_pct,official_statewide_grade3_reading_proficient_pct,official_statewide_grade3_reading_passed_pct,official_statewide_grade3_ela_level3_or_4_tested_only_pct,official_statewide_grade3_ela_meets_standard_or_above_pct,official_statewide_grade3_ela_meeting_or_advanced_tested_only_pct
OR,Oregon,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,60.4,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AOREGON,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,37385.0,,,,,,,,,,,,,39.6,,,,,,,,,,,,
PA,Pennsylvania,PSSA,ELA,03,2024-2025,2025,Below Basic,20.3,,,,"Pennsylvania's official assessment reporting page publishes statewide Grade 3 PSSA ELA percentages for Advanced, Proficient, Basic, and Below Basic directly in the public HTML table.",https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,,,,,,,118825.0,,,,,,,,,,48.6,,,,,,,,,,,,,,
RI,Rhode Island,RICAS,ELA,03,2024-2025,2025,Not Meeting Expectations,21.5,,,99.3,Rhode Island's public Assessment Data Portal publishes statewide Grade 3 RICAS ELA performance-level percentages directly for All Students. The saved extract also reports 9850.0 students tested and an average scale score of 490.0.,https://www3.ride.ri.gov/ADP/Default/_Data?assessment=5&lea=00&sch=&grade=03&supergroup=0&schYear=2024-25&compareWith=&ADA=false&Growth=false&Performance=false,https://www3.ride.ri.gov/ADP,,,,36.7,,9850.0,,,,,,,,,,,,,,,,,,,,,,,,,
SC,South Carolina,SC READY,ELA,03,2024-2025,2025,Does Not Meet Expectations,14.4,,,,South Carolina publishes exact statewide Grade 3 SC READY ELA performance-level percentages on the public state results page.,https://ed.sc.gov/data/test-scores/state-assessments/sc-ready/2025/state-scores-by-grade-level-and-demographic/?districtCode=9999&schoolCode=1001,https://ed.sc.gov/data/test-scores/state-assessments/sc-ready/2025/state-scores-by-grade-level-and-demographic/?districtCode=9999&schoolCode=1001,,,,,,,,,,,,,,,,,,,,,,61.7,,,,,,,,,
SD,South Dakota,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,52.8,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ASOUTH+DAKOTA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,10318.0,,,,,,,,,,,,,47.2,,,,,,,,,,,,
TN,Tennessee,TCAP,ELA,03,2024-2025,2025,Below,22.9,,,,Tennessee publishes exact statewide Grade 3 TCAP ELA tier percentages in the state assessment file.,https://www.tn.gov/content/dam/tn/education/accountability/2025/state_assessment_file_suppressed_2025.xlsx,https://www.tn.gov/content/tn/education/districts/federal-programs-and-oversight/data/data-downloads.html,,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,Texas,STAAR,ELA,03,2023-2024,2024,Did Not Meet Grade Level,26.0,,,,"Texas publishes cumulative threshold rates, so exact tiers are derived by subtraction from the statewide TAPR Grade 3 STAAR export.",https://rptsvr1.tea.texas.gov/cgi/sas/broker?_service=marykay&year4=2024&year2=&prgopt=2024/tapr/Basic%20Download/xplore/getdata2.sas&_program=perfrept.perfmast.sas&_debug=0&step=1&steps=2&sumlev=S&dsname=SSTAAR_GR3,https://rptsvr1.tea.texas.gov/perfreport/tapr/2024/Basic%20Download/DownloadSelData.html,,,,,,,,,,,,,,,,,,,,,,,74.0,48.0,21.0,,,,,,
UT,Utah,Statewide RLA Assessment (Ed Data Express),ELA,03,2020-2021,2021,100 - Percent Proficient,57.7,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient. Utah is a 2020-2021 fallback because the 2021-2022 row is suppressed in the public federal release.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2020-2021&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AUTAH,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,45676.0,,,,,,,,,,,,,42.3,,,,,,,,,,,,
VA,Virginia,SOL,ELA,03,2024-2025,2025,Failed,33.0,,,,"Virginia School Quality Profiles publishes statewide Grade 3 English Reading percentages for Advanced, Proficient, Passed, and Failed. Failed is used here as the below-basic analog because the public source does not split non-passing students into finer statewide tiers.",https://schoolquality.virginia.gov/virginia-state-quality-profile,https://schoolquality.virginia.gov/virginia-state-quality-profile,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,57.0,67.0,,,
VT,Vermont,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,58.7,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AVERMONT,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,5517.0,,,,,,,,,,,,,41.3,,,,,,,,,,,,
WA,Washington,SBAC,ELA,03,2024-2025,2025,Level 1,28.32,,,,"Washington publishes statewide Grade 3 SBAC ELA level shares as fractions of all expected students, so the exact tier percentages here are renormalized on a tested-only denominator.",https://data.wa.gov/api/views/h5d9-vgwi/rows.csv?accessType=DOWNLOAD,https://data.wa.gov/api/views/h5d9-vgwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.95,,
WI,Wisconsin,Forward Exam,ELA,03,2024-2025,2025,Developing,17.81,,,,"Wisconsin publishes statewide Grade 3 Forward ELA percentages on a denominator that includes No Test, so the exact tier percentages here are renormalized on a tested-only denominator.",https://dpi.wi.gov/sites/default/files/wise/downloads/forward_certified_2024-25.zip,https://dpi.wi.gov/wise-downloads/forwardcertified2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14
WV,West Virginia,WVGSA,ELA,03,2023-2024,2024,100 - Meets Standard or above,49.0,,,,"West Virginia's public statewide Grade 3 ELA materials expose proficiency but not the full statewide performance-level split, so the below-basic analog is filled as 100 - Meets Standard or above.",https://wvde.us/sites/default/files/2024-09/2024-Accountability-Assessment-Results-Document.pdf,https://wvde.us/events/2024/8/august-2024-board-meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,
WY,Wyoming,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,52.1,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AWYOMING,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,6837.0,,,,,,,,,,,,,47.9,,,,,,,,,,,,
